排行,视频标题,视频地址,作者,播放数,弹幕数,硬币数,点赞数,分享数,收藏数
1,第十一个南京大屠杀死难者国家公祭日，请留一分钟,https://www.bilibili.com/video/BV14wqhYYEb3,新华社,1986738,31307,307607,654463,36950,128467
2,《 骂 》,https://www.bilibili.com/video/BV1eZqiY8EiP,哦呼w,3296487,4311,392286,439185,35044,163627
3,《巫师4》｜官方首发预告片,https://www.bilibili.com/video/BV197qiYoEVn,CD_PROJEKT,3444404,35461,57047,279653,116455,47445
4,《万恶电梯》蹲坑版！,https://www.bilibili.com/video/BV1rmqSYyEtH,小何动漫i,5396121,413,15993,34307,156,283419
5,曾经我也想过一了百了,https://www.bilibili.com/video/BV1CAqSYyEBK,丁斯塔科维奇,1868537,3182,172106,163856,40434,75413
6,《黑神话：悟空》获TGA年度最佳动作游戏,https://www.bilibili.com/video/BV1DgqqYHE4U,央视新闻,2235293,21855,44347,248903,23733,21772
7,24下 四六级考前50分系列--必考词汇预测,https://www.bilibili.com/video/BV15yqDYiE2t,我是瑞斯拜,2003773,68214,34387,105762,24347,69830
8,【米饭仙人】第一次体验羊肉串！,https://www.bilibili.com/video/BV1SJqCYzEL7,米饭仙人FFyasueda,3076860,18388,25325,442532,5131,28241
9,网友：这是三十六计中的哪一计？,https://www.bilibili.com/video/BV1fSqmYvE5w,共青团中央,2943819,1638,9749,350262,15402,18737
10,因为自己淋过雨，所以更希望为别人撑伞。,https://www.bilibili.com/video/BV161q3YaEGd,贝爷是超人,1001679,42132,76550,308642,1877,25854
11,当我在游戏里为“星期日”拍照...【崩铁摄影第三期】,https://www.bilibili.com/video/BV1Gkq2YHENw,语堂天天啃土,612778,631,33457,135778,7776,46406
12,须知少时凌云志，曾许人间第一流【Theshy集锦】,https://www.bilibili.com/video/BV19rqUYfEen,TheShy,1066331,6703,63631,91319,12253,29505
13,别人都只能契约一只鬼，而你能无限契约鬼,https://www.bilibili.com/video/BV1Sqq6Y8EZ8,是画玖呀,1516101,2667,10850,30409,535,191258
14,农民为啥这么难？因为给农民发声的人，一般都没好下场！【尘肺病农民工调研03】,https://www.bilibili.com/video/BV1Mfq8YiEQb,王小七Fire,667895,1156,79533,93935,3355,20050
15,【超人杯】Major特别篇！强度超级加倍！快乐超级加倍！,https://www.bilibili.com/video/BV1X6q2YQEYn,一枪超人CSGO,1117393,4579,34942,96039,15053,25849
16,观我往旧，同我仰春。,https://www.bilibili.com/video/BV1jdqmYhEFF,记住周淮,943507,2288,14990,120749,9042,31335
